,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2019-01-01 00:00:00,0.4824,0.4824,,,,0.4824,,0.4824,0.4824,0.4824,,
2019-01-01 01:00:00,0.5108,0.5108,,,,0.5108,,0.5108,0.5108,0.5108,,
2019-01-01 02:00:00,0.5235,0.5235,,,,0.5235,,0.5235,0.5235,0.5235,,
2019-01-01 03:00:00,0.5223,0.5223,,,,0.5223,,0.5223,0.5223,0.5223,,
2019-01-01 04:00:00,0.5376,0.5376,,,,0.5376,,0.5376,0.5376,0.5376,,
2019-01-01 05:00:00,0.5569,0.5569,,,,0.5569,,0.5569,0.5569,0.5569,,
2019-01-01 06:00:00,0.5784,0.5784,,,,0.5784,,0.5784,0.5784,0.5784,,
2019-01-01 07:00:00,0.5825,0.5825,,,,0.5825,,0.5825,0.5825,0.5825,,
2019-01-01 08:00:00,0.5678,0.5678,,,,0.5678,,0.5678,0.5678,0.5678,,
2019-01-01 09:00:00,0.5608,0.5608,,,,0.5608,,0.5608,0.5608,0.5608,,
2019-01-01 10:00:00,0.5776,0.5776,,,,0.5776,,0.5776,0.5776,0.5776,,
2019-01-01 11:00:00,0.5663,0.5663,,,,0.5663,,0.5663,0.5663,0.5663,,
2019-01-01 12:00:00,0.5538,0.5538,,,,0.5538,,0.5538,0.5538,0.5538,,
2019-01-01 13:00:00,0.5776,0.5776,,,,0.5776,,0.5776,0.5776,0.5776,,
2019-01-01 14:00:00,0.6083,0.6083,,,,0.6083,,0.6083,0.6083,0.6083,,
2019-01-01 15:00:00,0.6443,0.6443,,,,0.6443,,0.6443,0.6443,0.6443,,
2019-01-01 16:00:00,0.6872,0.6872,,,,0.6872,,0.6872,0.6872,0.6872,,
2019-01-01 17:00:00,0.7253,0.7253,,,,0.7253,,0.7253,0.7253,0.7253,,
2019-01-01 18:00:00,0.7573,0.7573,,,,0.7573,,0.7573,0.7573,0.7573,,
2019-01-01 19:00:00,0.7662,0.7662,,,,0.7662,,0.7662,0.7662,0.7662,,
2019-01-01 20:00:00,0.7663,0.7663,,,,0.7663,,0.7663,0.7663,0.7663,,
2019-01-01 21:00:00,0.7549,0.7549,,,,0.7549,,0.7549,0.7549,0.7549,,
2019-01-01 22:00:00,0.728,0.728,,,,0.728,,0.728,0.728,0.728,,
2019-01-01 23:00:00,0.7089,0.7089,,,,0.7089,,0.7089,0.7089,0.7089,,
2019-01-02 00:00:00,0.7046,0.7046,,,,0.7046,,0.7046,0.7046,0.7046,,
2019-01-02 01:00:00,0.7039,0.7039,,,,0.7039,,0.7039,0.7039,0.7039,,
2019-01-02 02:00:00,0.6924,0.6924,,,,0.6924,,0.6924,0.6924,0.6924,,
2019-01-02 03:00:00,0.6813,0.6813,,,,0.6813,,0.6813,0.6813,0.6813,,
2019-01-02 04:00:00,0.6732,0.6732,,,,0.6732,,0.6732,0.6732,0.6732,,
2019-01-02 05:00:00,0.6603,0.6603,,,,0.6603,,0.6603,0.6603,0.6603,,
2019-01-02 06:00:00,0.6374,0.6374,,,,0.6374,,0.6374,0.6374,0.6374,,
2019-01-02 07:00:00,0.6112,0.6112,,,,0.6112,,0.6112,0.6112,0.6112,,
2019-01-02 08:00:00,0.5757,0.5757,,,,0.5757,,0.5757,0.5757,0.5757,,
2019-01-02 09:00:00,0.5271,0.5271,,,,0.5271,,0.5271,0.5271,0.5271,,
2019-01-02 10:00:00,0.4757,0.4757,,,,0.4757,,0.4757,0.4757,0.4757,,
2019-01-02 11:00:00,0.4321,0.4321,,,,0.4321,,0.4321,0.4321,0.4321,,
2019-01-02 12:00:00,0.4028,0.4028,,,,0.4028,,0.4028,0.4028,0.4028,,
2019-01-02 13:00:00,0.3845,0.3845,,,,0.3845,,0.3845,0.3845,0.3845,,
2019-01-02 14:00:00,0.3673,0.3673,,,,0.3673,,0.3673,0.3673,0.3673,,
2019-01-02 15:00:00,0.3486,0.3486,,,,0.3486,,0.3486,0.3486,0.3486,,
2019-01-02 16:00:00,0.3245,0.3245,,,,0.3245,,0.3245,0.3245,0.3245,,
2019-01-02 17:00:00,0.2925,0.2925,,,,0.2925,,0.2925,0.2925,0.2925,,
2019-01-02 18:00:00,0.26,0.26,,,,0.26,,0.26,0.26,0.26,,
2019-01-02 19:00:00,0.2358,0.2358,,,,0.2358,,0.2358,0.2358,0.2358,,
2019-01-02 20:00:00,0.2233,0.2233,,,,0.2233,,0.2233,0.2233,0.2233,,
2019-01-02 21:00:00,0.2258,0.2258,,,,0.2258,,0.2258,0.2258,0.2258,,
2019-01-02 22:00:00,0.2368,0.2368,,,,0.2368,,0.2368,0.2368,0.2368,,
2019-01-02 23:00:00,0.2444,0.2444,,,,0.2444,,0.2444,0.2444,0.2444,,
2019-01-03 00:00:00,0.2466,0.2466,,,,0.2466,,0.2466,0.2466,0.2466,,
2019-01-03 01:00:00,0.2433,0.2433,,,,0.2433,,0.2433,0.2433,0.2433,,
2019-01-03 02:00:00,0.2375,0.2375,,,,0.2375,,0.2375,0.2375,0.2375,,
2019-01-03 03:00:00,0.238,0.238,,,,0.238,,0.238,0.238,0.238,,
2019-01-03 04:00:00,0.2415,0.2415,,,,0.2415,,0.2415,0.2415,0.2415,,
2019-01-03 05:00:00,0.2435,0.2435,,,,0.2435,,0.2435,0.2435,0.2435,,
2019-01-03 06:00:00,0.2347,0.2347,,,,0.2347,,0.2347,0.2347,0.2347,,
2019-01-03 07:00:00,0.2202,0.2202,,,,0.2202,,0.2202,0.2202,0.2202,,
2019-01-03 08:00:00,0.2052,0.2052,,,,0.2052,,0.2052,0.2052,0.2052,,
2019-01-03 09:00:00,0.1878,0.1878,,,,0.1878,,0.1878,0.1878,0.1878,,
2019-01-03 10:00:00,0.173,0.173,,,,0.173,,0.173,0.173,0.173,,
2019-01-03 11:00:00,0.1556,0.1556,,,,0.1556,,0.1556,0.1556,0.1556,,
2019-01-03 12:00:00,0.1435,0.1435,,,,0.1435,,0.1435,0.1435,0.1435,,
2019-01-03 13:00:00,0.1395,0.1395,,,,0.1395,,0.1395,0.1395,0.1395,,
2019-01-03 14:00:00,0.1405,0.1405,,,,0.1405,,0.1405,0.1405,0.1405,,
2019-01-03 15:00:00,0.1428,0.1428,,,,0.1428,,0.1428,0.1428,0.1428,,
2019-01-03 16:00:00,0.1415,0.1415,,,,0.1415,,0.1415,0.1415,0.1415,,
2019-01-03 17:00:00,0.1248,0.1248,,,,0.1248,,0.1248,0.1248,0.1248,,
2019-01-03 18:00:00,0.1082,0.1082,,,,0.1082,,0.1082,0.1082,0.1082,,
2019-01-03 19:00:00,0.1027,0.1027,,,,0.1027,,0.1027,0.1027,0.1027,,
2019-01-03 20:00:00,0.1048,0.1048,,,,0.1048,,0.1048,0.1048,0.1048,,
2019-01-03 21:00:00,0.1032,0.1032,,,,0.1032,,0.1032,0.1032,0.1032,,
2019-01-03 22:00:00,0.1101,0.1101,,,,0.1101,,0.1101,0.1101,0.1101,,
2019-01-03 23:00:00,0.1245,0.1245,,,,0.1245,,0.1245,0.1245,0.1245,,
2019-01-04 00:00:00,0.1388,0.1388,,,,0.1388,,0.1388,0.1388,0.1388,,
2019-01-04 01:00:00,0.1516,0.1516,,,,0.1516,,0.1516,0.1516,0.1516,,
2019-01-04 02:00:00,0.1687,0.1687,,,,0.1687,,0.1687,0.1687,0.1687,,
2019-01-04 03:00:00,0.2037,0.2037,,,,0.2037,,0.2037,0.2037,0.2037,,
2019-01-04 04:00:00,0.2508,0.2508,,,,0.2508,,0.2508,0.2508,0.2508,,
2019-01-04 05:00:00,0.3028,0.3028,,,,0.3028,,0.3028,0.3028,0.3028,,
2019-01-04 06:00:00,0.3401,0.3401,,,,0.3401,,0.3401,0.3401,0.3401,,
2019-01-04 07:00:00,0.3522,0.3522,,,,0.3522,,0.3522,0.3522,0.3522,,
2019-01-04 08:00:00,0.3386,0.3386,,,,0.3386,,0.3386,0.3386,0.3386,,
2019-01-04 09:00:00,0.3216,0.3216,,,,0.3216,,0.3216,0.3216,0.3216,,
2019-01-04 10:00:00,0.3161,0.3161,,,,0.3161,,0.3161,0.3161,0.3161,,
2019-01-04 11:00:00,0.3186,0.3186,,,,0.3186,,0.3186,0.3186,0.3186,,
2019-01-04 12:00:00,0.3268,0.3268,,,,0.3268,,0.3268,0.3268,0.3268,,
2019-01-04 13:00:00,0.3348,0.3348,,,,0.3348,,0.3348,0.3348,0.3348,,
2019-01-04 14:00:00,0.3464,0.3464,,,,0.3464,,0.3464,0.3464,0.3464,,
2019-01-04 15:00:00,0.3649,0.3649,,,,0.3649,,0.3649,0.3649,0.3649,,
2019-01-04 16:00:00,0.3962,0.3962,,,,0.3962,,0.3962,0.3962,0.3962,,
2019-01-04 17:00:00,0.4274,0.4274,,,,0.4274,,0.4274,0.4274,0.4274,,
2019-01-04 18:00:00,0.4354,0.4354,,,,0.4354,,0.4354,0.4354,0.4354,,
2019-01-04 19:00:00,0.4306,0.4306,,,,0.4306,,0.4306,0.4306,0.4306,,
2019-01-04 20:00:00,0.4237,0.4237,,,,0.4237,,0.4237,0.4237,0.4237,,
2019-01-04 21:00:00,0.4409,0.4409,,,,0.4409,,0.4409,0.4409,0.4409,,
2019-01-04 22:00:00,0.4721,0.4721,,,,0.4721,,0.4721,0.4721,0.4721,,
2019-01-04 23:00:00,0.4919,0.4919,,,,0.4919,,0.4919,0.4919,0.4919,,
